yyyy,mm,dd,hh,temp,sal,co2,do,ph,omega_a,omega_c,TA_calc,datetime,doy,do_mgpl,co2_thermal,co2_corr
2016,9,5,10,16.558999999999997,31.198678509374677,738.39607,287.2314453125,7.8561,1.7549781805507227,2.7452130558173637,2457.6842610508875,2016-09-05T10:00:00Z,249,9.43898424536133,716.45,608.89
2016,9,5,11,16.790950000000002,31.23007052767943,687.75451,296.142578125,7.8755,1.8030740836327197,2.818938238375879,2407.3914439354544,2016-09-05T11:00:00Z,249,9.731821410644532,723.52,561.59
2016,9,5,12,17.052950000000003,30.842763776705574,687.33961,300.78125,7.8776,1.8157241920094804,2.83966477905179,2407.4789617563947,2016-09-05T12:00:00Z,249,9.8842571953125,731.58,555.07
2016,9,5,13,17.1598,30.141389115717878,681.1745,303.466796875,7.8786,1.7896740721319246,2.8047211028729038,2387.0481461213085,2016-09-05T13:00:00Z,249,9.972509491699219,734.89,547.61
2016,9,5,14,16.8938,30.570611082811048,726.08274,293.9453125,7.86525,1.7939764558596032,2.80981008546049,2464.4846545076807,2016-09-05T14:00:00Z,249,9.659614986328126,726.67,590.31
2016,9,5,15,16.847099999999998,30.724983193681815,759.50739,286.0107421875,7.8619,1.852217850884692,2.899559831636417,2556.550571097626,2016-09-05T15:00:00Z,249,9.398869565185548,725.24,618.71
2016,9,5,16,16.9859,30.790142289562183,747.78336,307.2509765625,7.8866,2.072687318623883,3.2430797280525088,2691.108613992503,2016-09-05T16:00:00Z,249,10.09686500024414,729.51,605.59
2016,9,5,17,16.916249999999998,30.77522678443882,749.69997,315.7958984375,7.8949,2.129738556042813,3.3330605865086786,2739.5531298400465,2016-09-05T17:00:00Z,249,10.37766776147461,727.36,608.94
2016,9,5,18,16.6899,30.85227824041123,741.82483,314.208984375,7.8383,1.6187808616291641,2.5341019826056086,2356.628307520699,2016-09-05T18:00:00Z,249,10.325518677246096,720.43,608.34
2016,9,5,19,16.53545,30.908332455615998,714.0319,310.302734375,7.8111,1.3691881811071345,2.143753267610218,2123.2071103998555,2016-09-05T19:00:00Z,249,10.197151700683596,715.74,589.38
2016,9,5,20,16.41065,31.05460984060647,732.50458,295.5322265625,7.7792,1.2090082856653288,1.8927651754955623,2010.9498099259577,2016-09-05T20:00:00Z,249,9.71176407055664,711.97,607.83
2016,9,5,21,17.087,31.035178704470425,707.32773,338.2568359375,7.78035,1.206692641993475,1.8865224750455651,1952.8305472651227,2016-09-05T21:00:00Z,249,11.115777876708982,732.63,570.39
2016,9,5,22,17.49655,31.09510437080116,650.39439,344.3603515625,7.9456,2.39585545764556,3.7413886517904413,2713.6499421893695,2016-09-05T22:00:00Z,249,11.316351277587891,745.44,515.47
2016,9,5,23,17.29715,31.084947951754316,614.66502,339.4775390625,7.9567,2.3689542664725125,3.7009538363046324,2642.720600873941,2016-09-05T23:00:00Z,249,11.155892556884764,739.18,491.28
2016,9,6,0,17.490650000000002,30.987477500031826,633.84038,331.0546875,7.9365,2.24501675134041,3.5066677536761164,2588.6970106689973,2016-09-06T00:00:00Z,249,10.879101263671874,745.25,502.47
2016,9,6,1,17.67085,30.861133266167393,644.25395,327.5146484375,7.9247,2.169483411003805,3.3885831590345052,2550.926732108943,2016-09-06T01:00:00Z,249,10.762768691162108,750.95,506.85
2016,9,6,2,17.6327,30.84208628226009,659.1183,323.3642578125,7.9048,2.010153642325349,3.1403269808551326,2473.4436810176026,2016-09-06T02:00:00Z,249,10.626378778564453,749.74,519.38
2016,9,6,3,17.296300000000002,30.836451348858834,696.81777,301.6357421875,7.8844,1.919358092702345,3.000516700309046,2484.752611529584,2016-09-06T03:00:00Z,249,9.912337471435547,739.15,556.96
2016,9,6,4,17.44885,30.785497347837875,717.17299,306.640625,7.87775,1.9233466179565606,3.0064138523623427,2513.7112917193595,2016-09-06T04:00:00Z,250,10.07680766015625,743.93,569.54
2016,9,6,5,17.116799999999998,30.7871925333134,766.81115,290.4052734375,7.85205,1.8104130297164052,2.831474347180637,2517.2769940384132,2016-09-06T05:00:00Z,250,9.54328241381836,733.56,617.57
2016,9,6,6,16.96395,30.759173036013053,761.93225,307.0068359375,7.8824,2.054552547033566,3.2151733404441543,2701.5799194062383,2016-09-06T06:00:00Z,250,10.088842064208984,728.83,617.63
2016,9,6,7,16.999499999999998,30.86515845868,759.69415,297.4853515625,7.86,1.8504447084301514,2.894680560737908,2544.907105592081,2016-09-06T07:00:00Z,250,9.775947558837892,729.93,614.89
2016,9,6,8,17.0744,30.882102709663457,719.22047,306.884765625,7.8958,2.079765095518572,3.2527516851877696,2645.3231774195287,2016-09-06T08:00:00Z,250,10.084830596191406,732.24,580.29
2016,9,6,9,17.09555,30.914062842876483,777.6971,291.259765625,7.8649,1.9538783186558575,3.0553456734548727,2642.4279309836916,2016-09-06T09:00:00Z,250,9.571362689941406,732.9,626.91
2016,9,6,10,17.1615,30.911939630041026,778.33336,295.0439453125,7.87405,2.028773585449833,3.1720160638828596,2694.8827580512366,2016-09-06T10:00:00Z,250,9.69571819848633,734.95,625.67
2016,9,6,11,17.2032,30.89635118630224,729.57566,299.31640625,7.8917,2.0748200321428034,3.243776070220531,2650.326251780346,2016-09-06T11:00:00Z,250,9.836119579101563,736.24,585.44
2016,9,6,12,17.275199999999998,30.85518559808202,737.75818,293.3349609375,7.86045,1.8140522594087103,2.836079730710349,2471.832911463104,2016-09-06T12:00:00Z,250,9.639557646240235,738.49,590.21
2016,9,6,13,17.32445,30.57134216827749,729.35484,297.7294921875,7.8596,1.7867696398407693,2.7953331080091046,2440.1599647990915,2016-09-06T13:00:00Z,250,9.783970494873047,740.03,582.27
2016,9,6,14,17.35235,30.30923704078279,739.26984,299.31640625,7.8723,1.9007247105400749,2.9757886341559927,2542.1776274939853,2016-09-06T14:00:00Z,250,9.836119579101563,740.9,589.49
2016,9,6,15,17.2529,30.232155188098183,762.76229,295.8984375,7.8657,1.9000459231033144,2.975793350040612,2580.1104153767164,2016-09-06T15:00:00Z,250,9.723798474609374,737.79,610.79
2016,9,6,16,17.4252,30.283763018028157,782.38916,305.2978515625,7.87375,2.0167528873308056,3.1570532040668122,2686.7507262025565,2016-09-06T16:00:00Z,250,10.032681511962892,743.19,621.95
2016,9,6,17,17.14065,30.325968535799248,793.78584,287.59765625,7.8611,1.944715194482263,3.045396313947397,2662.227262530102,2016-09-06T17:00:00Z,250,9.451018649414065,734.3,638.65
2016,9,6,18,17.0879,30.351813202635363,842.65354,308.349609375,7.8289,1.7656689094145988,2.765632156147329,2601.033563288339,2016-09-06T18:00:00Z,250,10.132968212402345,732.66,679.49
2016,9,6,19,16.6679,30.534591981463358,809.11083,296.38671875,7.8918,2.2494958832825502,3.5247289172554814,2935.766140218164,2016-09-06T19:00:00Z,250,9.739844346679687,719.76,664.13
2016,9,6,20,16.63335,30.692857675220743,814.32901,301.7578125,7.85525,1.9219316370395265,3.0104025368261804,2701.636178078033,2016-09-06T20:00:00Z,250,9.916348939453126,718.71,669.39
2016,9,6,21,16.695999999999998,30.88565482481325,829.74372,299.1943359375,7.7593,1.257404548612699,1.9682027474811508,2160.973931212501,2016-09-06T21:00:00Z,250,9.832108111083985,720.62,680.26
2016,9,6,22,16.765900000000002,31.01371320642464,800.85833,305.5419921875,7.74155,1.1117492402140634,1.7393457115799908,1987.2285590565825,2016-09-06T22:00:00Z,250,10.040704447998047,722.75,654.64
2016,9,6,23,16.83915,31.11629817610176,801.76399,305.0537109375,7.7774,1.338848098485222,2.0936971190420435,2191.4830009130824,2016-09-06T23:00:00Z,250,10.024658575927734,724.99,653.35
2016,9,7,0,16.7924,31.113576534192436,785.14665,303.955078125,7.7922,1.4000891653819398,2.1896562392600947,2225.614417343476,2016-09-07T00:00:00Z,250,9.988555363769532,723.56,641.08
2016,9,7,1,17.472299999999997,31.061443337948035,766.14641,308.59375,7.8706,2.008382397999113,3.1374277909492014,2648.2948494759626,2016-09-07T01:00:00Z,250,10.1409911484375,744.67,607.83
2016,9,7,2,17.52715,31.057377293987493,785.32429,299.8046875,7.86255,1.9861714173212779,3.101581996570199,2651.7131094079355,2016-09-07T02:00:00Z,250,9.852165451171874,746.4,621.6
2016,9,7,3,17.30865,30.889590714707126,820.30183,286.0107421875,7.8527,1.9478785682636894,3.044536739664237,2688.0908018209348,2016-09-07T03:00:00Z,250,9.398869565185548,739.54,655.32
2016,9,7,4,17.03015,30.786111952241455,856.26895,289.55078125,7.80065,1.5862596577629378,2.4818706137794337,2467.345976575576,2016-09-07T04:00:00Z,251,9.515202137695313,730.87,692.15
2016,9,7,5,17.156100000000002,30.772786349013003,856.23397,279.1748046875,7.831,1.8162146400425891,2.8407751143947544,2647.5875908520843,2016-09-07T05:00:00Z,251,9.174227356201172,734.78,688.45
2016,9,7,6,17.1082,30.87848151417374,878.25439,294.3115234375,7.8209,1.7842303424695856,2.7903285726313127,2653.739080131068,2016-09-07T06:00:00Z,251,9.67164939038086,733.29,707.59
2016,9,7,7,16.843899999999998,30.8692695720717,872.42503,295.8984375,7.8171,1.7311874383602393,2.7089900539599596,2616.5178143462927,2016-09-07T07:00:00Z,251,9.723798474609374,725.14,710.79
2016,9,7,8,16.73975,30.89146710746693,892.57801,291.015625,7.7996,1.629532480563602,2.55035574967454,2563.4344432797734,2016-09-07T08:00:00Z,251,9.56333975390625,721.95,730.42
