date, datatype, valuestation,attributes
2015-01-18T00:00:00,SNWD,130.0,GHCND:USW00014764,",,W,2400"
2015-01-18T00:00:00,TAVG,-3.7,GHCND:USW00014764,"H,,S,"
2015-01-18T00:00:00,TMAX,9.4,GHCND:USW00014764,",,W,2400"
2015-01-18T00:00:00,TMIN,-8.8,GHCND:USW00014764,",,W,2400"
2015-01-18T00:00:00,WDF2,140,GHCND:USW00014764,",,W,"
2015-01-18T00:00:00,WDF5,140,GHCND:USW00014764,",,W,"
2015-01-18T00:00:00,WSF2,12.5,GHCND:USW00014764,",,W,"
2015-01-18T00:00:00,WSF5,17.9,GHCND:USW00014764,",,W,"
2015-01-18T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-18T00:00:00,WT08,1,GHCND:USW00014764,",,W,"
2015-01-19T00:00:00,AWND,5.2,GHCND:USW00014764,",,W,"
2015-01-19T00:00:00,PRCP,2.8,GHCND:USW00014764,",,W,2400"
2015-01-19T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-19T00:00:00,SNWD,80.0,GHCND:USW00014764,",,W,2400"
2015-01-19T00:00:00,TAVG,6.5,GHCND:USW00014764,"H,,S,"
2015-01-19T00:00:00,TMAX,9.4,GHCND:USW00014764,",,W,2400"
2015-01-19T00:00:00,TMIN,1.7,GHCND:USW00014764,",,W,2400"
2015-01-19T00:00:00,WDF2,140,GHCND:USW00014764,",,W,"
2015-01-19T00:00:00,WDF5,150,GHCND:USW00014764,",,W,"
2015-01-19T00:00:00,WSF2,11.2,GHCND:USW00014764,",,W,"
2015-01-19T00:00:00,WSF5,16.1,GHCND:USW00014764,",,W,"
2015-01-19T00:00:00,WT01,1,GHCND:USW00014764,",,W,"
2015-01-20T00:00:00,AWND,5.0,GHCND:USW00014764,",,W,"
2015-01-20T00:00:00,PRCP,0.0,GHCND:USW00014764,",,W,2400"
2015-01-20T00:00:00,SNOW,0.0,GHCND:USW00014764,",,W,"
2015-01-20T00:00:00,SNWD,50.0,GHCND:USW00014764,",,W,2400"
2015-01-20T00:00:00,TAVG,0.4,GHCND:USW00014764,"H,,S,"
2015-01-20T00:00:00,TMAX,2.2,GHCND:USW00014764,",,W,2400"
2015-01-20T00:00:00,TMIN,-6.0,GHCND:USW00014764,",,W,2400"
2015-01-20T00:00:00,WDF2,260,GHCND:USW00014764,",,W,"
2015-01-20T00:00:00,WDF5,280,GHCND:USW00014764,",,W,"
2015-01-20T00:00:00,WSF2,9.4,GHCND:USW00014764,",,W,"
